Date;Caption;Predictions
2023;How peculiar! #fyp #foryou #foryoupage #pov #meme #actress ;
2023;THE WASPS ARE COMING! Practice your British accents at visitbritain.com/fakebrit and maybe you can land a second husband next time you're in Great Britain! #fakebritchallege #lovegreatbritain #ad ;
2023;Shes lived. #fyp #foryou #foryoupage #pov #losangeles #waitress ;
2023;OUT OF POCKET #fyp #foryou #fyp #doctors #doctorsoffice #pov ;
2023;Thank you to Martin Bulge, especially. #fyp #foryou #foryoupage #oscars #oscars2023 #awardshow #awardsseason2023;
2022;??I LOVE YOUR SON ??#fyp #foryou #foryoupage #pov #christmas #proposal;
2022;Happy thanksgiving, respectfully. #fyp #foryou #foryoupage #thankagiving #HuluChippendalesDance ;
2022;She has a secret. And it’s sad. #fyp #foryou #foryoupage #movies #pov #oscarmovies #yellowstonetv ;
2022;Naked, WET. #fyp #foryou #foryoupage #halloween #cousins #comedianoftheyear ;
2022;Good friend dinner with friends. #fyp #foryou #foryoupage #kardashians #kardashianshulu #kimkardashian ;
2022;Avery:????? #fyp #foryou #foryoupage #parents #parentsoftiktok #momsoftiktok ;
2022;Nicola Peltz-Beckham walked so Nicola Pomodoro Blockcheese could run. #fyp #foryou #foryoupage #vogue #nicolapeltz #FlexEveryAngle ;
2022;Florence, we’re begging you. #foryou #foryoupage #fyp #dontworrydarling #movies #venicefilmfestival ;
2022;??Capricorn, Cancer, Spisces, Porpio??#fyp #foryoupage #foryou #psychic #tarot ;
2022;However long theeseees take. #fyp #pov #foryou #foryoupage #WeStickTogether #MickeyFriendsStayTrue;
2022;She loves her fans. #fyp #foryou #foryoupage #comiccon2022 #comiccon #BigInkEnergy #chrissywakeup;
2022;?BaBe? #fyp #foryou #foryoupage #girlfriendsoftiktok #4thofjuly #elvis #strangerthings #summervibes;
2022;#greenscreen Support small businesses while shopping in @Amazon’s store. Look for the new small business badges to #SupportSmallwithAmazon #ad;
2022;Get me out of this fresh hell. #fyp #foryou #foryoupage #roevwade  #sunmervibes #handmaidstale;
2022;This is not what me signed up for. #fyp #foryou #foryoupage #boyfriend #romcom #diy #emo;
2022;I’m only a person ?? #fyp #foryou #foryoupage #comiccon #summervibes #multiverse #ReadyForHell #PerfectPrideMovement;
2022;Too niche? #fyp #foryou #foryoupage #2000s #aboutdamntime #wellthatsyou #kitchenhack #nostalgia;
2022;Um okay MR. MAGOO #fyp #foryou #foryoupage #aboutdamntime #clarity #unboxing #relationships #breakup;
2022;I’m f?ùückued #fyp #foryou #foryoupage #coachella #HPSustainableSounds #PassTheBIC #outfitinspo;
2022;Dude why are so many CHICKS here? #fyp #foryou #foryoupage #EasyWithAdobeExpress  #ootd #diditmyself #asitwas #sustainability;
2022;You work with me, I work with you. #whenwomenwin #fashiontiktok #didyouknow #smelllikeirishspring #hollywood;
2022;Did a 3 minute video because I honestly don’t care anymore. #fyp #foryou #foryoupage #OscarsAtHome #UnsealTheMeal #WomenOwnedBusiness #BridgertonScandal;
2022;?Hello, everyone! ? #fyp #foryoupage #foryou #InstaxChallenge #OscarsAtHome #BridgertonScandal #WomenOwnedBusiness #HaloSilverTeam;
2022;Please know the rules, thank you. #fyp #foryoupage #tiptok #spring #facebook #OscarsAtHome #SeeHerGreatnes;
2022;#ad You won’t object to this: Law & Order season 21 Thursdays on @NBC  and streaming next day on @Peacock TV . #ad;
